,Unnamed: 0,Arrondissement,Name Arrondissement,Surface (ha),Population (2020),"Density (2021, hab/kmÂ²)",zipcode
0,0,1,Louvre,183,15919,8699,75001
1,1,2,Bourse,99,21119,21332,75002
2,2,3,Temple,117,32793,28028,75003
3,3,4,Hotel de ville,160,28324,17702,75004
4,4,5,Pantheon ,254,56841,22378,75005
5,5,6,Luxembourg,215,40209,18702,75006
6,6,7,Palais-Bourbon,409,47947,11723,75007
7,7,8,Elysee,388,35123,9052,75008
8,8,9,Opera,218,58951,27042,75009
9,9,10,Enclos saint laurent,289,83543,28908,75010
10,10,11,Popincourt,367,142583,38851,75011
11,11,12,Reuilly,637,142340,22594,75012
12,12,13,Gobelins,715,178350,24944,75013
13,13,14,Observatoire,564,136368,24179,75014
14,14,15,Vaugirard,848,227746,26857,75015
15,15,16,Passy,791,165487,20921,75016
16,16,17,Batignolles,567,164413,28997,75017
17,17,18,Butte-Montmartre,601,188446,31355,75018
18,18,19,Buttes-Chaumont,679,181616,26748,75019
19,19,20,Menilmontant,598,189805,31740,75020
